seed,sigma,correlation,estimator,corr_theta,spear_theta,corr_beta,spear_beta,corr_X_missing,rmse_theta,rmse_beta,rmse_X
45,0.5,none,Day,0.993682,0.995818,0.33368,0.324372,0.7458,0.345612,1.384557,1.289573
45,0.5,none,Imp,0.981981,0.982714,0.995661,0.995869,0.94924,0.425462,0.294464,0.589509
46,0.5,none,EM,0.990422,0.993831,0.992606,0.990435,0.956235,0.455782,0.440426,0.577233
46,0.5,none,Day,0.990422,0.993817,0.416168,0.383349,0.794452,0.455782,1.463546,1.252026
46,0.5,none,Imp,0.978487,0.980653,0.982868,0.963688,0.937036,0.535702,0.508836,0.649163
47,0.5,none,EM,0.987462,0.989955,0.991285,0.996304,0.947637,0.6284,0.746357,0.680782
47,0.5,none,Day,0.987462,0.990065,0.633437,0.604512,0.73046,0.6284,1.79546,1.440725
47,0.5,none,Imp,0.92022,0.930341,0.979611,0.968445,0.90127,0.813392,0.743748,0.842881
48,0.5,none,EM,0.987498,0.989579,0.995427,0.992174,0.961271,0.525042,0.446739,0.593749
48,0.5,none,Day,0.987498,0.989593,0.518954,0.530791,0.740179,0.525042,1.652329,1.443561
48,0.5,none,Imp,0.940214,0.940892,0.993042,0.982387,0.926627,0.698354,0.494502,0.723485
49,0.5,none,EM,0.983446,0.991928,0.988694,0.996522,0.949888,0.471764,0.438238,0.586358
49,0.5,none,Day,0.983446,0.992025,0.240061,0.346489,0.734219,0.471764,1.486537,1.278521
49,0.5,none,Imp,0.977127,0.986881,0.988353,0.989121,0.941696,0.513803,0.459664,0.615489
0,0.5,theta,EM,0.982923,0.994122,0.964952,0.983478,0.927605,0.494539,0.541801,0.63207
0,0.5,theta,Day,0.982923,0.994011,0.093349,0.095837,0.698584,0.494539,1.476175,1.268264
0,0.5,theta,Imp,0.982902,0.994831,0.833906,0.847576,0.870775,0.456172,0.820285,0.874417
1,0.5,theta,EM,0.979306,0.990745,0.991193,0.987171,0.940636,0.616296,0.442344,0.627712
1,0.5,theta,Day,0.979306,0.990995,0.270319,0.265396,0.535693,0.616298,1.72673,1.542719
1,0.5,theta,Imp,0.972307,0.992273,0.93472,0.917591,0.907906,0.508933,0.637988,0.774068
2,0.5,theta,EM,0.984053,0.99433,0.984286,0.983478,0.944424,0.564823,0.511421,0.62396
2,0.5,theta,Day,0.984053,0.994594,0.35079,0.265396,0.728666,0.564823,1.542568,1.330736
2,0.5,theta,Imp,0.975634,0.9892,0.870697,0.835834,0.883348,0.564143,0.803826,0.893187
3,0.5,theta,EM,0.956866,0.993315,0.981999,0.988686,0.899308,1.032435,0.71451,0.744946
3,0.5,theta,Day,0.956866,0.993898,0.53206,0.567652,0.438512,1.032436,1.88532,1.598975
3,0.5,theta,Imp,0.943349,0.994176,0.956506,0.964317,0.900204,0.817295,0.663815,0.807008
4,0.5,theta,EM,0.983884,0.994886,0.981662,0.97913,0.927586,0.616658,0.600477,0.67399
4,0.5,theta,Day,0.983884,0.994844,0.466184,0.427582,0.561314,0.616659,1.536397,1.333641
4,0.5,theta,Imp,0.980313,0.996956,0.905838,0.890194,0.914851,0.441226,0.7351,0.852514
5,0.5,theta,EM,0.97466,0.99572,0.990305,0.98,0.941507,0.581955,0.371153,0.598506
5,0.5,theta,Day,0.97466,0.995609,0.280583,0.265396,0.647307,0.581957,1.412333,1.305379
5,0.5,theta,Imp,0.97433,0.995831,0.882583,0.858261,0.902308,0.488248,0.717224,0.82555
6,0.5,theta,EM,0.963538,0.992064,0.942857,0.969539,0.840655,0.687406,0.765204,0.697539
6,0.5,theta,Day,0.963538,0.992064,0.486457,0.398093,0.518452,0.687407,1.540565,1.266763
6,0.5,theta,Imp,0.964236,0.992064,0.91264,0.84222,0.851867,0.570737,0.701378,0.788069
7,0.5,theta,EM,0.987451,0.994567,0.989212,0.991304,0.946857,0.556722,0.544871,0.643635
7,0.5,theta,Day,0.987451,0.994539,0.331879,0.272768,0.506904,0.556722,1.798437,1.578656
7,0.5,theta,Imp,0.978733,0.995817,0.930275,0.913913,0.923607,0.438506,0.701461,0.804883
8,0.5,theta,EM,0.984021,0.994733,0.989069,0.978474,0.939931,0.743292,0.451045,0.64479
8,0.5,theta,Day,0.984021,0.994775,0.257,0.265396,0.726967,0.743294,1.448687,1.274437
8,0.5,theta,Imp,0.981916,0.994747,0.834391,0.830615,0.884794,0.621481,0.873239,0.926976
9,0.5,theta,EM,0.967107,0.99604,0.987346,0.986957,0.917567,0.723549,0.412497,0.653392
9,0.5,theta,Day,0.967107,0.99597,0.482155,0.493931,0.580958,0.72355,1.350379,1.260891
9,0.5,theta,Imp,0.960207,0.996318,0.90613,0.906087,0.889104,0.581751,0.695276,0.839667
10,0.5,theta,EM,0.983385,0.994775,0.988885,0.994129,0.898446,0.476112,0.484874,0.609842
10,0.5,theta,Day,0.983385,0.994997,0.706808,0.715093,0.412259,0.476114,1.300924,1.189702
10,0.5,theta,Imp,0.972087,0.994927,0.957552,0.955614,0.897779,0.407831,0.536002,0.72744
11,0.5,theta,EM,0.989496,0.994886,0.991855,0.985867,0.949684,0.537535,0.515455,0.620022
11,0.5,theta,Day,0.989496,0.994858,0.239433,0.265396,0.506782,0.537537,1.897442,1.642616
11,0.5,theta,Imp,0.985133,0.995108,0.924059,0.918895,0.921178,0.416467,0.749802,0.796724
12,0.5,theta,EM,0.973029,0.990258,0.975836,0.98087,0.866863,0.786866,0.704423,0.738766
12,0.5,theta,Day,0.973029,0.990534,0.675238,0.626628,0.357828,0.786868,1.605081,1.373288
12,0.5,theta,Imp,0.970355,0.994927,0.942108,0.920635,0.88697,0.46369,0.723182,0.806592
13,0.5,theta,EM,0.982481,0.993439,0.976662,0.981739,0.940832,0.645153,0.444966,0.640744
13,0.5,theta,Day,0.982481,0.993439,0.240889,0.243279,0.771075,0.645154,1.338352,1.201578
13,0.5,theta,Imp,0.983171,0.993328,0.807589,0.826267,0.861962,0.580767,0.827344,0.907176
14,0.5,theta,EM,0.966532,0.990342,0.977291,0.981724,0.881954,0.978249,0.851869,0.791643
14,0.5,theta,Day,0.966532,0.990064,0.607128,0.582396,0.321738,0.97825,1.827689,1.501087
14,0.5,theta,Imp,0.955758,0.995066,0.940581,0.950392,0.897737,0.695985,0.7891,0.877986
15,0.5,theta,EM,0.986943,0.995456,0.962549,0.969565,0.909171,0.448241,0.671307,0.631839
15,0.5,theta,Day,0.986943,0.99547,0.488357,0.449698,0.678106,0.448242,1.405672,1.168853
15,0.5,theta,Imp,0.9816,0.994969,0.86811,0.77512,0.900425,0.39834,0.788859,0.855361
